ENSEMBL ID,HGNC Symbol,WGCNA module color,WGCNA Module Label
ENSG00000124635,HIST1H2BJ,grey,11
ENSG00000124641,MED20,grey,11
ENSG00000124659,TBCC,greenyellow,10
ENSG00000124664,SPDEF,grey,11
ENSG00000124678,TCP11,grey,11
ENSG00000124688,MAD2L1BP,brown,3
ENSG00000124693,HIST1H3B,grey,11
ENSG00000220575,,grey,11
ENSG00000124733,MEA1,brown,3
ENSG00000124749,COL21A1,grey,11
ENSG00000124762,CDKN1A,purple,19
ENSG00000124766,SOX4,red,20
ENSG00000124767,GLO1,grey,11
ENSG00000124772,CPNE5,midnightblue,17
ENSG00000124782,RREB1,purple,19
ENSG00000124783,SSR1,grey,11
ENSG00000124784,RIOK1,grey,11
ENSG00000225663,FAM195B,grey60,12
ENSG00000124786,SLC35B3,blue,2
ENSG00000124787,RPP40,grey,11
ENSG00000124788,ATXN1,yellow,25
ENSG00000124789,NUP153,grey,11
ENSG00000124795,DEK,grey,11
ENSG00000124813,RUNX2,pink,18
ENSG00000124831,LRRFIP1,lightcyan,13
ENSG00000124839,RAB17,salmon,22
ENSG00000124920,MYRF,blue,2
ENSG00000124942,AHNAK,green,9
ENSG00000125037,EMC3,brown,3
ENSG00000125046,SSUH2,grey,11
ENSG00000125084,WNT1,salmon,22
ENSG00000125089,SH3TC1,purple,19
ENSG00000125107,CNOT1,grey,11
ENSG00000125122,LRRC29,grey,11
ENSG00000125124,BBS2,lightgreen,14
ENSG00000125144,MT1G,lightgreen,14
ENSG00000125148,MT2A,green,9
ENSG00000125149,C16orf70,grey,11
ENSG00000125166,GOT2,magenta,16
ENSG00000125170,DOK4,brown,3
ENSG00000125246,CLYBL,lightgreen,14
ENSG00000125247,TMTC4,blue,2
ENSG00000125249,RAP2A,brown,3
ENSG00000125257,ABCC4,pink,18
ENSG00000125266,EFNB2,grey,11
ENSG00000125285,SOX21,green,9
ENSG00000125304,TM9SF2,brown,3
ENSG00000125347,IRF1,purple,19
ENSG00000226415,TPI1P1,brown,3
ENSG00000125352,RNF113A,brown,3
ENSG00000227184,EPPK1,grey,11
ENSG00000125355,TMEM255A,grey,11
ENSG00000125356,NDUFA1,brown,3
ENSG00000125375,ATP5S,darkred,7
ENSG00000125378,BMP4,darkturquoise,8
ENSG00000125386,FAM193A,turquoise,24
ENSG00000125388,GRK4,grey,11
ENSG00000125430,HS3ST3B1,grey,11
ENSG00000125434,SLC25A35,turquoise,24
ENSG00000125445,MRPS7,brown,3
ENSG00000125447,GGA3,cyan,4
ENSG00000125449,ARMC7,grey,11
ENSG00000125450,NUP85,blue,2
ENSG00000125454,SLC25A19,grey,11
ENSG00000125457,MIF4GD,blue,2
ENSG00000125458,NT5C,grey,11
ENSG00000125459,MSTO1,grey,11
ENSG00000125462,C1orf61,green,9
ENSG00000125482,TTF1,darkred,7
ENSG00000125484,GTF3C4,midnightblue,17
ENSG00000125485,DDX31,grey,11
